Дата,Блок,Wort,Artikel,Plural,Übersetzung,Beispiel,Übersetzung Beispiel,Anki: Front (авто),Anki: Back (авто),Уровень,Следующий показ,Всего попыток,Правильно,Подтемы
21.07.2026,1. Hallo! Wie geht's?,vhs_Lektion 1_Hallo! Wie geht_s_,-,-,Привет! Как дела?,Hallo! Wie geht's dir?,Привет! Как твои дела?,,,1,21.07.2026,0,0,
10.07.2026,1. Hallo! Wie geht's?,kommen (aus),-,-,"происходить из, быть родом из",Ich komme aus Deutschland.,Я родом из Германии.,kommen (aus) | Ich komme aus Deutschland.,"происходить из, быть родом из | Я родом из Германии.",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Frau,die,die Frauen,женщина,Die Frau spricht Deutsch.,Женщина говорит по-немецки.,die Frau | Die Frau spricht Deutsch.,женщина | Женщина говорит по-немецки.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Herr,der,die Herren,господин,Wer ist dieser Herr?,Кто этот господин?,der Herr | Wer ist dieser Herr?,господин | Кто этот господин?,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,heißen,-,-,"называться, зваться",Wie heißen Sie?,Как вас зовут?,heißen | Wie heißen Sie?,"называться, зваться | Как вас зовут?",1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,ich,-,-,я,Ich heiße Max.,Меня зовут Макс.,ich | Ich heiße Max.,я | Меня зовут Макс.,1,21.07.2026,0,0,1. Знакомство_Hallo!
09.07.2026,1. Hallo! Wie geht's?,Deutschland,-,-,Германия,Ich wohne in Deutschland.,Я живу в Германии.,Deutschland | Ich wohne in Deutschland.,Германия | Я живу в Германии.,1,21.07.2026,0,0,1. Знакомство_Hallo!
09.07.2026,1. Hallo! Wie geht's?,Türkei,die,-,Турция,Ich fliege im Sommer in die Türkei.,Летом я лечу в Турцию.,die Türkei | Ich fliege im Sommer in die Türkei.,Турция | Летом я лечу в Турцию.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Syrien,-,-,Сирия,Ich komme aus Syrien.,Я из Сирии.,Syrien | Ich komme aus Syrien.,Сирия | Я из Сирии.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Polen,-,-,Польша,Ich komme aus Polen.,Я из Польши.,Polen | Ich komme aus Polen.,Польша | Я из Польши.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Bulgarien,-,-,Болгария,Ich komme aus Bulgarien.,Я из Болгарии.,Bulgarien | Ich komme aus Bulgarien.,Болгария | Я из Болгарии.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Spanien,-,-,Испания,Ich wohne in Spanien.,Я живу в Испании.,Spanien | Ich wohne in Spanien.,Испания | Я живу в Испании.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Italien,-,-,Италия,Ich wohne in Italien.,Я живу в Италии.,Italien | Ich wohne in Italien.,Италия | Я живу в Италии.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Griechenland,-,-,Греция,Ich mache Urlaub in Griechenland.,Я провожу отпуск в Греции.,Griechenland | Ich mache Urlaub in Griechenland.,Греция | Я провожу отпуск в Греции.,1,21.07.2026,0,0,1. Знакомство_Hallo!
10.07.2026,1. Hallo! Wie geht's?,Russland,-,-,Россия,Ich komme aus Russland.,Я из России.,Russland | Ich komme aus Russland.,Россия | Я из России.,1,21.07.2026,0,0,1. Знакомство_Hallo!
